topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,overallInteractionData,quizWiseInteractionData,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
flow control advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3456463068181818,0.6912926136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
flow control easy,0.015625,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.3534588068181818,0.7069176136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
exceptions easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643963068181818,0.7287926136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
threads advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768963068181818,0.7537926136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
core easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768963068181818,0.7537926136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
declarations and access control easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768963068181818,0.7537926136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
operators and assignments advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38314630681818185,0.7662926136363637,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
inner classes easy,0.015625,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.41595880681818176,0.8319176136363635,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
assertions easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42064630681818177,0.8412926136363635,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
assertions advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42064630681818177,0.8412926136363635,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
classes easy,0.015625,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.4534588068181818,0.9069176136363636,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
declarations and access control advanced,0.140625,0.03125,0.25,0.28125,0.0625,0.5,0.0,0.0,0.0,0.5686355911616161,0.9694176136363636,0.16785356868686868,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
garbage collection easy,0.125,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.5670730911616161,0.9662926136363635,0.16785356868686868,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
garbage collection advanced,0.15625,0.0625,0.25,0.3125,0.125,0.5,0.0,0.0,0.0,0.6076980911616161,1.0475426136363635,0.16785356868686868,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
objects and collections advanced,0.125,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.6170730911616161,1.0662926136363635,0.16785356868686868,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
objects and collections easy,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.6670730911616161,1.1912926136363635,0.1428535686868687,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,-0.2833333333333333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,
