Instance_number,Topic,TopicKnowledge,OverAllTopicKnowledge,QuizWiseTopicKnowledge,AdvanceTopicKnowledge,OverAllAdvanceTopicKnowledge,QuizWiseAdvanceTopicKnowledge,EasyTopicKnowledge,OverAllEasyTopicKnowledge,QuizWiseEasyTopicKnowledge,Knowledge,OverAllKnowledge,QuizWiseKnowledge,AdvancedKnowledge,OverAllAdvancedKnowledge,QuizWiseAdvancedKnowledge,EasyKnowledge,OverAllEasyKnowledge,QuizWiseEasyKnowledge,OverallInteractionData,QuizWiseInteractionData,ActiveOrReflective,SensoryOrIntuitive,VisualOrVerbal,SequentialOrGlobal,Recommendation,Cluster
0,'flow control advanced',0.03125,0,0.0625,0.0625,0,0.125,0,0,0,0.376834,0.691293,0.062376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://javatutorial.net/java-control-flow-statements,cluster3
1,'flow control easy',0.046875,0.03125,0.0625,0,0,0,0.09375,0.0625,0.125,0.397147,0.706918,0.087376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://javatutorial.net/java-control-flow-statements,cluster3
2,'exceptions easy',0,0,0,0,0,0,0,0,0,0.404959,0.728793,0.081126,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://rymden.nu/exceptions.html,cluster3
3,'threads advanced',0.0625,0,0.125,0.125,0,0.25,0,0,0,0.448709,0.753793,0.143626,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://beginnersbook.com/2013/03/multithreading-in-java/,cluster3
4,'core easy',0,0,0,0,0,0,0,0,0,0.442459,0.753793,0.131126,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.tutorialspoint.com/java/java_inheritance.htm,cluster3
5,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.442459,0.753793,0.131126,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.jchq.net/certkey/0101certkey.htm,cluster3
6,'operators and assignments advanced',0.03125,0,0.0625,0.0625,0,0.125,0,0,0,0.464334,0.766293,0.162376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
7,'inner classes easy',0.046875,0.03125,0.0625,0,0,0,0.09375,0.0625,0.125,0.509647,0.831918,0.187376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster3
8,'assertions easy',0.03125,0,0.0625,0,0,0,0.0625,0,0.125,0.526834,0.841293,0.212376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster3
9,'assertions advanced',0,0,0,0,0,0,0,0,0,0.523709,0.841293,0.206126,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster3
10,'classes easy',0.054688,0.03125,0.078125,0,0,0,0.109375,0.0625,0.15625,0.576053,0.906918,0.245189,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster3
11,'declarations and access control advanced',0.054688,0.03125,0.078125,0.03125,0.0625,0,0.078125,0,0.15625,0.607303,0.969418,0.245189,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://www.jchq.net/certkey/0101certkey.htm,cluster3
12,'garbage collection easy',0,0,0,0,0,0,0,0,0,0.601834,0.966293,0.237376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
13,'garbage collection advanced',0.09375,0.0625,0.125,0.1875,0.125,0.25,0,0,0,0.673709,1.047543,0.299876,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster3
14,'objects and collections advanced',0.0625,0,0.125,0.125,0,0.25,0,0,0,0.708084,1.066293,0.349876,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://beginnersbook.com/java-collections-tutorials/,cluster3
15,'objects and collections easy',0.25,0.25,0.25,0,0,0,0.5,0.5,0.5,0.826834,1.191293,0.462376,0.15978,0.258333,0.061227,0.079259,0.125781,0.032737,-0.283333,-0.116667,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
16,'flow control advanced',0,0,0,0,0,0,0,0,0,0.428402,0.856803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster7
17,'flow control easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.490902,0.981803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster1
18,'exceptions easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.540902,1.081803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://rymden.nu/exceptions.html,cluster1
19,'threads advanced',0,0,0,0,0,0,0,0,0,0.528402,1.056803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,?,cluster1
20,'core easy',0,0,0,0,0,0,0,0,0,0.528402,1.056803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.tutorialspoint.com/java/java_inheritance.htm,cluster1
21,'declarations and access control easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.615902,1.231803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster1
22,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.603402,1.206803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.wideskills.com/java-tutorial/java-operators-tutorial,cluster1
23,'inner classes easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.665902,1.331803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster1
24,'assertions easy',0,0,0,0,0,0,0,0,0,0.653402,1.306803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster1
25,'assertions advanced',0,0,0,0,0,0,0,0,0,0.653402,1.306803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster1
26,'classes easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.715902,1.431803,0,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster6
27,'declarations and access control advanced',0.25,0.25,0.25,0.5,0.5,0.5,0,0,0,0.859576,1.581803,0.137349,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster6
28,'garbage collection easy',0.125,0,0.25,0.25,0,0.5,0,0,0,0.847076,1.556803,0.137349,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster2
29,'garbage collection advanced',0.25,0.25,0.25,0.5,0.5,0.5,0,0,0,0.909576,1.681803,0.137349,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster6
30,'objects and collections advanced',0.125,0,0.25,0.25,0,0.5,0,0,0,0.897076,1.656803,0.137349,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/java-collections-tutorials/,cluster2
31,'objects and collections easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.947076,1.781803,0.112349,0.361111,0.583333,0.138889,0.278093,0.541667,0.01452,0.015,-0.45,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,?,cluster6
32,'flow control advanced',0.0625,0,0.125,0.125,0,0.25,0,0,0,0.391049,0.651689,0.130409,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster0
33,'flow control easy',0.0625,0,0.125,0,0,0,0.125,0,0.25,0.441049,0.701689,0.180409,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster0
34,'exceptions easy',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://rymden.nu/exceptions.html,cluster0
35,'threads advanced',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/2013/03/multithreading-in-java/,cluster0
36,'core easy',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.tutorialspoint.com/java/java_inheritance.htm,cluster0
37,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster0
38,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.wideskills.com/java-tutorial/java-operators-tutorial,cluster0
39,'inner classes easy',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster0
40,'assertions easy',0,0,0,0,0,0,0,0,0,0.434799,0.701689,0.167909,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster0
41,'assertions advanced',0.0625,0,0.125,0.125,0,0.25,0,0,0,0.491049,0.751689,0.230409,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster0
42,'classes easy',0.035156,0,0.070313,0,0,0,0.070313,0,0.140625,0.508627,0.764189,0.253065,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,?,cluster0
43,'declarations and access control advanced',0.035156,0,0.070313,0,0,0,0.070313,0,0.140625,0.508627,0.764189,0.253065,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster0
44,'garbage collection easy',0,0,0,0,0,0,0,0,0,0.505112,0.764189,0.246034,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster0
45,'garbage collection advanced',0,0,0,0,0,0,0,0,0,0.505112,0.764189,0.246034,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster0
46,'objects and collections advanced',0,0,0,0,0,0,0,0,0,0.505112,0.764189,0.246034,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/java-collections-tutorials/,cluster0
47,'objects and collections easy',0.125,0,0.25,0,0,0,0.25,0,0.5,0.567612,0.764189,0.371034,0.06713,0.083333,0.050926,0.031185,0.03125,0.03112,0.515,0.515,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/java-collections-tutorials/,cluster0
48,'flow control advanced',0,0,0,0,0,0,0,0,0,0.325845,0.651689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster0
49,'flow control easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://javatutorial.net/java-control-flow-statements,cluster0
50,'exceptions easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://rymden.nu/exceptions.html,cluster0
51,'threads advanced',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/2013/03/multithreading-in-java/,cluster0
52,'core easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,?,cluster0
53,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster0
54,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.wideskills.com/java-tutorial/java-operators-tutorial,cluster0
55,'inner classes easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster0
56,'assertions easy',0,0,0,0,0,0,0,0,0,0.350845,0.701689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster0
57,'assertions advanced',0,0,0,0,0,0,0,0,0,0.375845,0.751689,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://docs.oracle.com/javase/7/docs/techfalsetes/guides/language/assert.html,cluster0
58,'classes easy',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.codejava.net/java-core/the-java-language/java-keyword-assert,cluster0
59,'declarations and access control advanced',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://www.jchq.net/certkey/0101certkey.htm,cluster0
60,'garbage collection easy',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,https://plumbr.eu/handbook/what-is-garbage-collection,cluster0
61,'garbage collection advanced',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,?,cluster0
62,'objects and collections advanced',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/java-collections-tutorials/,cluster0
63,'objects and collections easy',0,0,0,0,0,0,0,0,0,0.382095,0.764189,0,0.041667,0.083333,0,0.015625,0.03125,0,0.515,0,REFLECTIVE,INTUITIVE,VERBAL,GLOBAL,http://beginnersbook.com/java-collections-tutorials/,cluster0
64,'flow control advanced',0.125,0,0.25,0.25,0,0.5,0,0,0,0.381404,0.641995,0.120813,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://javatutorial.net/java-control-flow-statements,cluster3
65,'flow control easy',0.125,0,0.25,0,0,0,0.25,0,0.5,0.481404,0.741995,0.220813,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,https://javatutorial.net/java-control-flow-statements,cluster3
66,'exceptions easy',0.125,0,0.25,0,0,0,0.25,0,0.5,0.581404,0.841995,0.320813,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,http://rymden.nu/exceptions.html,cluster3
67,'threads advanced',0,0,0,0,0,0,0,0,0,0.568904,0.841995,0.295813,0.061728,0.111111,0.012346,0.099609,0.1875,0.011719,-0.45,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
